type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7.0,0.17,0.37,0.053254437869822494,0.19791666666666669,0.32894736842105265,0.2727272727272727,0.9922,3.3,0.46,0.4516129032258066,7
red,6.2,0.58,0.0,0.0591715976331361,0.5833333333333334,0.09210526315789473,0.04743083003952569,0.9966,3.56,0.84,0.2258064516129033,5
white,5.9,0.34,0.31,0.08284023668639054,0.21874999999999997,0.4868421052631579,0.5375494071146245,0.98892,3.4,0.41,0.7903225806451615,7
white,7.5,0.34,0.28,0.20118343195266272,0.19791666666666669,0.5921052631578947,0.3715415019762846,0.98958,3.2,0.5,0.8387096774193549,7
white,7.1,0.27,0.28,0.038461538461538464,0.14583333333333334,0.02631578947368421,0.32806324110671936,0.98993,2.95,0.3,0.5483870967741936,4
white,6.3,0.23,0.3,0.07100591715976333,0.25,0.19736842105263158,0.3359683794466403,0.9906,3.28,0.4,0.6129032258064518,6
red,14.3,0.31,0.74,0.07100591715976333,0.6875,0.06578947368421052,0.03557312252964427,1.0008,2.86,0.79,0.06451612903225813,6
white,6.9,0.23,0.34,0.12426035502958581,0.23958333333333331,0.3026315789473684,0.45454545454545453,0.9902,3.14,0.38,0.7096774193548389,7
white,6.8,0.22,0.31,0.047337278106508875,0.4583333333333333,0.4342105263157895,0.4268774703557312,0.9929,3.39,0.77,0.41935483870967744,6
white,8.6,0.485,0.29,0.20710059171597633,0.17708333333333334,0.23684210526315788,0.37549407114624506,0.9918,3.01,0.38,0.7096774193548389,5
white,6.6,0.42,0.33,0.1301775147928994,0.2604166666666667,0.18421052631578946,0.31225296442687744,0.99,3.28,0.51,0.870967741935484,6
white,5.0,0.3,0.33,0.18343195266272191,0.21874999999999997,0.6973684210526315,0.6600790513833992,0.9887,3.36,0.3,0.8064516129032259,7
white,6.6,0.19,0.33,0.07100591715976333,0.27083333333333337,0.5394736842105263,0.5612648221343873,0.99196,3.15,0.36,0.35483870967741926,5
white,6.4,0.69,0.09,0.4142011834319527,0.3645833333333333,0.4342105263157895,0.5454545454545454,0.9948,3.26,0.38,0.3387096774193548,6
white,6.8,0.19,0.71,1.0,0.34375,0.2631578947368421,0.4268774703557312,0.99784,2.85,0.5,0.24193548387096778,6
white,9.8,0.25,0.74,0.5562130177514794,0.4895833333333333,0.4605263157894737,0.8656126482213439,0.9977,3.06,0.43,0.32258064516129037,4
white,7.0,0.29,0.26,0.0591715976331361,0.3645833333333333,0.14473684210526316,0.3201581027667984,0.9923,3.08,0.46,0.40322580645161293,6
white,8.2,0.25,0.46,0.1863905325443787,0.4270833333333333,0.17105263157894737,0.3794466403162055,0.99524,3.28,0.58,0.2741935483870967,5
white,7.9,0.12,0.49,0.2721893491124261,0.4166666666666667,0.42105263157894735,0.5770750988142292,0.9952,3.18,0.47,0.41935483870967744,6
white,8.3,0.49,0.43,0.11242603550295859,0.28124999999999994,0.40789473684210525,0.43478260869565216,0.9944,3.23,0.47,0.4354838709677419,6
white,6.6,0.16,0.36,0.029585798816568056,0.22916666666666666,0.34210526315789475,0.3438735177865613,0.98884,3.23,0.34,0.8387096774193549,8
white,6.9,0.115,0.35,0.2840236686390533,0.40625,0.4605263157894737,0.4031620553359684,0.9939,3.32,0.42,0.35483870967741926,6
white,7.4,0.25,0.37,0.7633136094674557,0.53125,0.6710526315789473,0.7351778656126482,0.9975,3.0,0.44,0.17741935483870963,5
red,9.2,0.58,0.2,0.14201183431952663,0.7500000000000001,0.18421052631578946,0.4308300395256917,0.998,3.23,0.59,0.24193548387096778,5
red,8.2,0.5,0.35,0.13609467455621302,0.7083333333333334,0.2631578947368421,0.4782608695652174,0.9976,3.23,0.62,0.2258064516129033,5
white,5.8,0.3,0.42,0.029585798816568056,0.28124999999999994,0.23684210526315788,0.42292490118577075,0.98871,3.1,0.46,0.7419354838709677,7
white,6.8,0.28,0.36,0.37869822485207105,0.35416666666666663,0.7763157894736842,0.7944664031620553,0.99556,3.16,0.49,0.25806451612903225,6
white,6.4,0.22,0.32,0.3905325443786983,0.19791666666666669,0.18421052631578946,0.30434782608695654,0.993,3.13,0.55,0.46774193548387105,8
white,7.7,0.3,0.42,0.8106508875739646,0.37499999999999994,0.5789473684210527,0.8181818181818182,0.9991,3.18,0.63,0.1935483870967741,5
white,7.1,0.2,0.27,0.5325443786982249,0.29166666666666663,0.23684210526315788,0.391304347826087,0.99444,3.04,0.37,0.40322580645161293,7
white,6.2,0.55,0.45,0.6745562130177516,0.4166666666666667,0.34210526315789475,0.7114624505928854,0.9974,3.17,0.5,0.20967741935483886,6
red,7.5,0.41,0.15,0.18343195266272191,0.9895833333333334,0.3684210526315789,0.34782608695652173,0.99786,3.14,0.58,0.17741935483870963,5
red,8.4,0.745,0.11,0.07692307692307691,0.84375,0.19736842105263158,0.22529644268774704,0.9965,3.19,0.82,0.25806451612903225,5
white,6.6,0.32,0.33,0.11242603550295859,0.44791666666666663,0.5131578947368421,0.8438735177865613,0.99316,3.15,0.6,0.32258064516129037,5
white,7.9,0.35,0.28,0.727810650887574,0.23958333333333331,0.15789473684210525,0.22529644268774704,0.9932,2.99,0.43,0.8064516129032259,6
white,6.4,0.27,0.49,0.39644970414201186,0.38541666666666663,0.6842105263157895,0.7905138339920948,0.9956,3.24,0.43,0.1935483870967741,6
white,8.0,0.55,0.17,0.44970414201183434,0.3229166666666667,0.15789473684210525,0.2134387351778656,0.9956,3.09,0.3,0.24193548387096778,4
white,7.4,0.37,0.26,0.5325443786982249,0.4270833333333333,0.42105263157894735,0.5059288537549407,0.99608,3.13,0.46,0.3870967741935485,5
white,7.0,0.28,0.28,0.047337278106508875,0.3125,0.14473684210526316,0.30434782608695654,0.99173,3.18,0.65,0.5,5
red,7.5,0.6,0.03,0.07100591715976333,0.8958333333333334,0.3157894736842105,0.3675889328063241,0.995,3.35,0.54,0.3387096774193548,5
white,9.0,0.22,0.49,0.5798816568047338,0.40625,0.6710526315789473,0.7470355731225297,0.9987,3.31,0.44,0.35483870967741926,6
red,7.2,0.63,0.0,0.07692307692307691,0.9166666666666667,0.17105263157894737,0.12648221343873517,0.99675,3.37,0.58,0.16129032258064518,6
white,6.4,0.28,0.29,0.0591715976331361,0.44791666666666663,0.4342105263157895,0.4782608695652174,0.9929,3.48,0.56,0.40322580645161293,7
white,8.0,0.3,0.49,0.5207100591715977,0.38541666666666663,0.6052631578947368,0.7193675889328063,0.9964,3.14,0.48,0.32258064516129037,5
white,7.4,0.18,0.36,0.7396449704142013,0.4895833333333333,0.9342105263157895,0.6205533596837944,1.0,3.42,0.35,0.17741935483870963,6
red,7.4,0.6,0.26,0.08875739644970415,0.7708333333333334,0.21052631578947367,0.3359683794466403,0.99616,3.29,0.56,0.2903225806451614,6
white,5.8,0.22,0.25,0.053254437869822494,0.15625,0.2631578947368421,0.40711462450592883,0.99234,3.37,0.58,0.3870967741935485,6
white,6.6,0.17,0.26,0.4023668639053255,0.44791666666666663,0.5789473684210527,0.48221343873517786,0.99388,3.16,0.37,0.32258064516129037,6
white,6.0,0.33,0.2,0.07100591715976333,0.22916666666666666,0.631578947368421,0.6047430830039525,0.9919,3.41,0.53,0.48387096774193555,6
red,7.7,0.705,0.1,0.1183431952662722,0.7812500000000001,0.10526315789473684,0.07905138339920949,0.9976,3.39,0.49,0.2741935483870967,5
white,7.1,0.28,0.19,0.42603550295857995,0.3229166666666667,0.618421052631579,0.7035573122529645,0.99579,3.16,0.5,0.2258064516129033,5
white,7.2,0.37,0.15,0.08284023668639054,0.20833333333333337,0.34210526315789475,0.3201581027667984,0.9903,3.3,0.59,0.7419354838709677,7
white,7.5,0.24,0.29,0.029585798816568056,0.38541666666666663,0.4342105263157895,0.308300395256917,0.9902,3.04,0.39,0.5564516129032258,6
white,6.6,0.17,0.3,0.029585798816568056,0.22916666666666666,0.15789473684210525,0.2648221343873518,0.99095,3.17,0.58,0.48387096774193555,6
white,6.8,0.34,0.1,0.047337278106508875,0.4166666666666667,0.3684210526315789,0.4426877470355731,0.9936,3.21,0.41,0.24193548387096778,5
white,6.4,0.28,0.41,0.36686390532544383,0.37499999999999994,0.7894736842105263,0.8300395256916996,0.9952,3.09,0.46,0.2258064516129033,5
red,8.9,0.28,0.45,0.06508875739644972,0.6041666666666666,0.07894736842105263,0.023715415019762844,0.99354,3.25,0.55,0.6935483870967744,7
white,5.7,0.22,0.22,0.9497041420118343,0.3645833333333333,0.5,0.41106719367588934,0.99855,3.24,0.48,0.16129032258064518,6
white,6.8,0.34,0.69,0.04142011834319528,0.5104166666666666,0.14473684210526316,0.6521739130434783,0.9931,3.06,0.47,0.2741935483870967,5
white,5.7,0.33,0.32,0.047337278106508875,0.35416666666666663,0.35526315789473684,0.3438735177865613,0.9897,3.31,0.5,0.6935483870967744,6
white,7.2,0.46,0.65,0.5798816568047338,0.4270833333333333,0.9868421052631579,0.7351778656126482,0.9976,3.16,0.42,0.11290322580645151,5
white,5.1,0.52,0.06,0.12426035502958581,0.44791666666666663,0.3815789473684211,0.2885375494071146,0.9932,3.32,0.43,0.20967741935483886,5
white,6.0,0.27,0.27,0.0591715976331361,0.38541666666666663,0.40789473684210525,0.42292490118577075,0.9924,3.41,0.51,0.40322580645161293,7
white,5.8,0.385,0.25,0.18343195266272191,0.22916666666666666,0.4868421052631579,0.45849802371541504,0.99128,3.2,0.63,0.5161290322580645,6
white,5.6,0.18,0.29,0.10059171597633135,0.3229166666666667,0.05263157894736842,0.16205533596837945,0.99126,3.07,0.45,0.3387096774193548,4
white,8.9,0.34,0.34,0.0591715976331361,0.4895833333333333,0.15789473684210525,0.6719367588932806,0.9946,3.14,0.47,0.2741935483870967,5
red,11.4,0.26,0.44,0.1775147928994083,0.6458333333333333,0.06578947368421052,0.05138339920948617,0.9986,3.12,0.82,0.20967741935483886,6
white,6.9,0.28,0.22,0.5562130177514794,0.44791666666666663,0.4605263157894737,0.49407114624505927,0.99696,3.08,0.46,0.25806451612903225,5
white,6.6,0.36,0.29,0.0591715976331361,0.12500000000000003,0.3026315789473684,0.31225296442687744,0.98965,3.41,0.61,0.7096774193548389,9
white,7.7,0.46,0.18,0.15976331360946747,0.46875,0.2236842105263158,0.541501976284585,0.99392,3.12,0.51,0.4516129032258066,6
white,6.5,0.52,0.17,0.047337278106508875,0.3958333333333333,0.05263157894736842,0.07905138339920949,0.9932,3.26,0.32,0.32258064516129037,4
white,7.5,0.28,0.78,0.6804733727810651,0.3333333333333333,0.6842105263157895,0.6126482213438735,0.99838,2.98,0.44,0.11290322580645151,5
white,5.6,0.12,0.33,0.13609467455621302,0.3645833333333333,0.2631578947368421,0.2648221343873518,0.98896,3.17,0.32,0.7903225806451615,8
white,5.1,0.21,0.28,0.047337278106508875,0.3958333333333333,0.618421052631579,0.5612648221343873,0.99168,3.5,0.49,0.3870967741935485,5
white,7.4,0.2,0.37,0.03550295857988166,0.19791666666666669,0.35526315789473684,0.32806324110671936,0.99132,3.14,0.61,0.6129032258064518,6
white,6.4,0.24,0.28,0.6449704142011835,0.4270833333333333,0.4342105263157895,0.6205533596837944,0.9969,3.31,0.45,0.24193548387096778,5
white,7.4,0.32,0.27,0.727810650887574,0.3229166666666667,0.7763157894736842,0.849802371541502,0.99831,3.05,0.66,0.2258064516129033,5
white,7.5,0.18,0.31,0.349112426035503,0.20833333333333337,0.6842105263157895,0.6086956521739131,0.99276,3.03,0.38,0.46774193548387105,6
white,9.3,0.34,0.49,0.39644970414201186,0.44791666666666663,0.3815789473684211,0.5533596837944664,0.998,3.17,0.61,0.35483870967741926,5
white,6.5,0.21,0.28,0.047337278106508875,0.38541666666666663,0.32894736842105265,0.23715415019762845,0.99199,3.43,0.48,0.5,6
white,6.1,0.32,0.33,0.5976331360946746,0.28124999999999994,0.34210526315789475,0.36363636363636365,0.99521,3.34,0.52,0.35483870967741926,6
white,8.2,0.31,0.43,0.37869822485207105,0.3958333333333333,0.2236842105263158,0.3201581027667984,0.99628,3.23,0.64,0.41935483870967744,5
white,6.7,0.47,0.29,0.24556213017751483,0.2604166666666667,0.3684210526315789,0.5059288537549407,0.99056,3.29,0.46,0.8064516129032259,7
white,6.6,0.38,0.18,0.03550295857988166,0.34375,0.25,0.308300395256917,0.9927,3.22,0.45,0.3387096774193548,4
red,8.4,0.56,0.04,0.08284023668639054,0.7604166666666667,0.11842105263157894,0.06324110671936758,0.9976,3.22,0.44,0.25806451612903225,5
red,7.7,0.775,0.42,0.07692307692307691,0.8645833333333334,0.09210526315789473,0.31620553359683795,0.9959,3.23,0.59,0.24193548387096778,5
red,9.1,0.765,0.04,0.0591715976331361,0.71875,0.039473684210526314,0.03162055335968379,0.998,3.29,0.54,0.2741935483870967,4
red,12.8,0.84,0.63,0.10650887573964497,0.8229166666666666,0.15789473684210525,0.11462450592885376,0.9997,3.1,0.6,0.3870967741935485,6
white,6.4,0.38,0.26,0.44970414201183434,0.35416666666666663,0.35526315789473684,0.36363636363636365,0.99234,2.99,0.31,0.5483870967741936,6
red,7.3,0.38,0.21,0.08284023668639054,0.7395833333333334,0.07894736842105263,0.11462450592885376,0.9961,3.33,0.47,0.24193548387096778,5
white,7.4,0.32,0.55,0.9467455621301776,0.4895833333333333,0.6842105263157895,0.9169960474308301,1.0017,2.96,0.58,0.11290322580645151,6
white,5.7,0.255,0.65,0.03550295857988166,0.7291666666666667,0.21052631578947367,0.5177865612648221,0.99307,3.2,0.42,0.2258064516129033,5
white,7.1,0.44,0.62,0.6627218934911244,0.3645833333333333,0.6710526315789473,0.5770750988142292,0.9975,3.12,0.46,0.11290322580645151,6
white,6.1,0.28,0.26,0.053254437869822494,0.21874999999999997,0.3157894736842105,0.37549407114624506,0.98894,3.03,0.41,0.6612903225806451,6
white,6.2,0.3,0.32,0.04142011834319528,0.46875,0.34210526315789475,0.6996047430830039,0.99266,3.3,0.43,0.3387096774193548,5
white,6.2,0.25,0.39,0.04142011834319528,0.43749999999999994,0.5394736842105263,0.5098814229249012,0.9906,3.23,0.4,0.5,6
red,9.9,0.63,0.24,0.10650887573964497,0.7083333333333334,0.06578947368421052,0.1067193675889328,0.9974,3.09,0.57,0.2258064516129033,5
white,6.5,0.51,0.25,0.06508875739644972,0.40625,0.5,0.6758893280632411,0.99212,3.28,0.57,0.41935483870967744,5
white,7.5,0.22,0.32,0.10650887573964497,0.37499999999999994,0.3684210526315789,0.3715415019762846,0.99135,3.08,0.6,0.5322580645161292,7
white,6.9,0.24,0.37,0.3254437869822486,0.18750000000000003,0.4868421052631579,0.4189723320158103,0.99086,3.19,0.34,0.7096774193548389,6
white,6.6,0.56,0.15,0.5562130177514794,0.29166666666666663,0.4868421052631579,0.5968379446640316,0.99642,3.28,0.52,0.2258064516129033,5
white,8.3,0.4,0.41,0.44970414201183434,0.4270833333333333,0.18421052631578946,0.45849802371541504,0.9979,3.39,0.49,0.20967741935483886,5
white,7.8,0.24,0.32,0.6863905325443788,0.46875,0.5394736842105263,0.5217391304347826,0.9984,3.01,0.54,0.12903225806451626,5
white,7.4,0.2,0.37,0.9674556213017751,0.40625,0.5526315789473685,0.7272727272727273,0.9995,3.03,0.42,0.1935483870967741,6
white,6.3,0.16,0.4,0.0591715976331361,0.25,0.7631578947368421,0.5612648221343873,0.9914,3.44,0.53,0.5483870967741936,5
white,6.3,0.27,0.51,0.4142011834319527,0.4166666666666667,0.4473684210526316,0.766798418972332,0.99548,3.16,0.54,0.2258064516129033,4
white,5.8,0.26,0.18,0.03550295857988166,0.22916666666666666,0.5131578947368421,0.4268774703557312,0.9908,3.42,0.4,0.48387096774193555,7
white,7.190360944777112,0.36,0.14,0.49112426035502965,0.28124999999999994,0.4868421052631579,0.5889328063241107,0.99622,3.27,0.5257311399135924,0.2258064516129033,5
white,6.8,0.13,0.39,0.047337278106508875,0.2604166666666667,0.23684210526315788,0.3794466403162055,0.99121,3.23,0.6,0.5322580645161292,7
white,7.1,0.23,0.35,0.940828402366864,0.3229166666666667,0.7763157894736842,0.6521739130434783,0.999,3.16,0.59,0.17741935483870963,6
red,8.0,0.28,0.44,0.07100591715976333,0.7500000000000001,0.35526315789473684,0.2450592885375494,0.99501,3.36,0.66,0.5161290322580645,5
red,7.9,0.6,0.06,0.0591715976331361,0.625,0.18421052631578946,0.20948616600790515,0.9964,3.3,0.46,0.2258064516129033,5
white,6.8,0.18,0.32,0.3905325443786983,0.3958333333333333,0.21052631578947367,0.40711462450592883,0.99498,3.42,0.44,0.3870967741935485,6
white,7.2,0.34,0.2,0.3076923076923077,0.5520833333333333,0.6710526315789473,0.7786561264822134,0.99461,3.17,0.44,0.2903225806451614,6
white,7.7,0.27,0.34,0.07100591715976333,0.19791666666666669,0.32894736842105265,0.6403162055335968,0.9911,2.99,0.48,0.6612903225806451,7
white,6.4,0.24,0.5,0.6508875739644971,0.3958333333333333,0.7763157894736842,0.8102766798418972,0.9966,3.18,0.57,0.20967741935483886,5
red,7.7,0.39,0.12,0.06508875739644972,0.9166666666666667,0.23684210526315788,0.08300395256916997,0.99596,3.16,0.49,0.2258064516129033,5
white,6.7,0.51,0.24,0.08875739644970415,0.35416666666666663,0.17105263157894737,0.5889328063241107,0.9904,3.22,0.6,0.8064516129032259,6
white,7.4,0.24,0.4,0.21893491124260356,0.23958333333333331,0.10526315789473684,0.35177865612648224,0.992,3.09,0.39,0.5,6
white,7.4,0.26,0.3,0.4319526627218936,0.4166666666666667,0.4868421052631579,0.5968379446640316,0.9963,3.13,0.48,0.1451612903225807,6
white,6.6,0.23,0.26,0.04142011834319528,0.37499999999999994,0.19736842105263158,0.48221343873517786,0.9934,3.36,0.6,0.32258064516129037,6
red,7.0,0.5,0.14,0.07100591715976333,0.71875,0.11842105263157894,0.06719367588932806,0.99636,3.53,0.61,0.3870967741935485,5
white,6.8,0.22,0.24,0.2544378698224853,0.8645833333333334,0.3815789473684211,0.4624505928853755,0.9951,3.03,0.46,0.09677419354838705,6
red,9.9,0.63,0.24,0.10650887573964497,0.7083333333333334,0.06578947368421052,0.1067193675889328,0.9974,3.09,0.57,0.2258064516129033,5
white,7.6,0.33,0.41,0.7751479289940829,0.37499999999999994,0.5657894736842105,0.7549407114624506,0.9989,3.18,0.64,0.17741935483870963,5
white,7.2,0.19,0.27,0.6272189349112426,0.5416666666666666,0.5921052631578947,0.5652173913043478,0.99772,2.99,0.59,0.20967741935483886,6
white,6.6,0.46,0.49,0.4023668639053255,0.44791666666666663,0.23684210526315788,0.7035573122529645,0.9956,3.11,0.38,0.16129032258064518,5
white,6.0,0.39,0.17,0.6745562130177516,0.38541666666666663,0.8421052631578947,0.9486166007905138,0.9976,3.15,0.38,0.16129032258064518,6
white,6.4,0.17,0.34,0.7573964497041421,0.3645833333333333,0.5789473684210527,0.525691699604743,0.99752,3.06,0.43,0.17741935483870963,6
white,8.5,0.25,0.27,0.24260355029585803,0.22916666666666666,0.39473684210526316,0.33992094861660077,0.9922,3.01,0.33,0.6451612903225807,6
white,7.9,0.18,0.49,0.2721893491124261,0.43749999999999994,0.4605263157894737,0.5968379446640316,0.9953,3.18,0.48,0.41935483870967744,6
white,8.1,0.24,0.33,0.5680473372781065,0.40625,0.5921052631578947,0.5335968379446641,0.9972,3.16,0.48,0.37096774193548404,6
white,6.2,0.25,0.25,0.047337278106508875,0.21874999999999997,0.4473684210526316,0.391304347826087,0.9912,3.3,0.44,0.5,7
white,5.8,0.22,0.3,0.029585798816568056,0.3958333333333333,0.4605263157894737,0.49407114624505927,0.992,3.26,0.45,0.3870967741935485,5
white,7.6,0.31,0.27,0.3076923076923077,0.28124999999999994,0.2894736842105263,0.40711462450592883,0.99399,3.34,0.54,0.48387096774193555,6
white,7.4,0.16,0.27,0.8816568047337279,0.4270833333333333,0.3157894736842105,0.5098814229249012,0.9984,2.9,0.43,0.11290322580645151,7
white,6.9,0.18,0.36,0.04142011834319528,0.28124999999999994,0.5131578947368421,0.43873517786561267,0.9934,3.27,0.95,0.24193548387096778,7
white,7.0,0.13,0.3,0.26035502958579887,0.4895833333333333,0.39473684210526316,0.45849802371541504,0.9945,3.47,0.42,0.40322580645161293,6
white,7.6,0.31,0.24,0.07100591715976333,0.29166666666666663,0.5,0.5691699604743083,0.9913,3.05,0.44,0.6129032258064518,7
white,6.2,0.32,0.24,0.20710059171597633,0.43749999999999994,0.4342105263157895,0.5652173913043478,0.99306,3.36,0.52,0.48387096774193555,5
white,6.1,0.14,0.25,0.04142011834319528,0.3958333333333333,0.47368421052631576,0.6600790513833992,0.9925,3.35,0.46,0.32258064516129037,6
white,7.1,0.37,0.3,0.3313609467455622,0.3229166666666667,0.631578947368421,0.525691699604743,0.99021,3.17,0.27,0.903225806451613,6
white,6.7,0.24,0.26,0.2840236686390533,0.21874999999999997,0.18421052631578946,0.34782608695652173,0.99045,3.15,0.38,0.7580645161290323,6
red,7.3,0.98,0.05,0.08875739644970415,0.5416666666666666,0.25,0.16996047430830039,0.99705,3.31,0.55,0.2741935483870967,3
red,6.7,0.42,0.27,0.4733727810650888,0.6145833333333334,0.3026315789473684,0.5612648221343873,0.9948,3.16,0.57,0.5322580645161292,6
white,6.8,0.22,0.36,0.03550295857988166,0.44791666666666663,0.4868421052631579,0.4782608695652174,0.9933,3.04,0.54,0.1935483870967741,5
red,7.4,0.7,0.0,0.07692307692307691,0.6979166666666667,0.13157894736842105,0.11067193675889328,0.9978,3.51,0.56,0.2258064516129033,5
white,7.6,0.29,0.58,1.0,0.3333333333333333,0.6578947368421053,0.8656126482213439,0.9997,3.16,0.66,0.24193548387096778,6
red,6.6,0.52,0.04,0.09467455621301776,0.625,0.09210526315789473,0.03557312252964427,0.9956,3.4,0.63,0.2258064516129033,6
white,6.7,0.3,0.5,0.6804733727810651,0.37499999999999994,0.4868421052631579,0.4782608695652174,0.9974,3.04,0.53,0.1451612903225807,6
red,8.8,0.44,0.49,0.1301775147928994,0.7708333333333334,0.2236842105263158,0.4150197628458498,0.9982,3.3,0.6,0.24193548387096778,5
white,7.4,0.41,0.34,0.24260355029585803,0.34375,0.23684210526315788,0.4782608695652174,0.9953,3.25,0.42,0.3870967741935485,5
white,6.6,0.27,0.25,0.03550295857988166,0.25,0.4605263157894737,0.4150197628458498,0.98918,3.16,0.37,0.7096774193548389,6
red,7.2,0.415,0.36,0.08284023668639054,0.7500000000000001,0.15789473684210525,0.1541501976284585,0.9972,3.48,0.64,0.1935483870967741,5
white,6.6,0.24,0.27,0.8994082840236688,0.27083333333333337,0.5921052631578947,0.7193675889328063,0.9982,3.24,0.51,0.1935483870967741,5
white,5.5,0.18,0.22,0.2899408284023669,0.29166666666666663,0.11842105263157894,0.31620553359683795,0.99156,3.46,0.44,0.6774193548387096,5
white,6.2,0.32,0.45,0.13609467455621302,0.20833333333333337,0.47368421052631576,0.34782608695652173,0.98998,3.25,0.6,0.7096774193548389,6
white,5.8,0.3,0.38,0.2544378698224853,0.3125,0.27631578947368424,0.31620553359683795,0.98963,3.23,0.58,0.8225806451612904,7
red,12.5,0.56,0.49,0.10650887573964497,0.5729166666666666,0.05263157894736842,0.08300395256916997,0.9999,3.08,0.87,0.46774193548387105,5
red,8.9,0.4,0.32,0.2958579881656805,0.8125,0.11842105263157894,0.16205533596837945,0.9991,3.38,0.77,0.40322580645161293,7
white,6.3,0.23,0.22,0.1863905325443787,0.3125,0.47368421052631576,0.43478260869565216,0.9927,3.23,0.5,0.4354838709677419,6
white,6.4,0.12,0.3,0.029585798816568056,0.22916666666666666,0.47368421052631576,0.34782608695652173,0.98986,3.01,0.56,0.596774193548387,6
